bibkey,authors,year,title,venue,type,url_or_doi,status,section_used,priority,notes
dahl2024large,"Dahl M., Magesh V., Suzgun M., Ho D.E.",2024,"Large Legal Fictions: Profiling Legal Hallucinations in Large Language Models",Journal of Legal Analysis,journal,https://arxiv.org/abs/2401.01301,cited,§1 Introduction,nice-to-have,"Legal-domain hallucination evidence; supports motivation"
petroni2021kilt,"Petroni F., Piktus A., Fan A., Lewis P., Yazdani M., De Cao N., Thorne J., Jernite Y., Karpukhin V., Maillard J., Plachouras V., Rocktäschel T., Riedel S.",2021,"KILT: a Benchmark for Knowledge Intensive Language Tasks",NAACL,conference,https://arxiv.org/abs/2009.02252,cited,§1 Introduction,nice-to-have,"Knowledge-intensive task benchmark; supports motivation paragraph"
carranza2017improved,"Carranza E.J.M., Laborte A.G.",2015,"Random forest predictive modeling of mineral prospectivity with small number of prospects and data with missing values in Abra (Philippines)",Computers & Geosciences,journal,https://doi.org/10.1016/j.cageo.2014.12.001,cited,§2 Related Work,must-have,"Canonical ML-for-prospectivity citation; bibkey says 2017 but consider switching to this 2015 paper or true 2017 Carranza work"
zuo2020deep,"Zuo R., Xu Y.",2020,"Graph Deep Learning Model for Mapping Mineral Prospectivity",Mathematical Geosciences,journal,https://doi.org/10.1007/s11004-022-10015-z,cited,§2 Related Work,must-have,"Deep learning prospectivity citation; check exact year (Zuo has several papers in this line)"
sun2020data,"Sun T., Li H., Wu K., Chen F., Zhu Z., Hu Z.",2020,"Data-Driven Predictive Modelling of Mineral Prospectivity Using Machine Learning and Deep Learning Methods",Natural Resources Research,journal,https://doi.org/10.1007/s11053-020-09700-9,cited,§2 Related Work,nice-to-have,"Data-driven prospectivity survey; cite alongside Zuo for breadth"
wang2022deep,"Wang Z., Zuo R., Liu H.",2022,"Lithological mapping using a convolutional neural network based on stream-sediment geochemical survey data",Natural Resources Research,journal,https://doi.org/10.1007/s11053-022-10103-1,cited,§2 Related Work,nice-to-have,"Recent ML-prospectivity with interpretability angle; check whether SHAP variant fits better"
qin2023toolllm,"Qin Y., Liang S., Ye Y., Zhu K., Yan L., Lu Y., Lin Y., Cong X., Tang X., Qian B., Zhao S., Hong L., Tian R., Xie R., Zhou J., Gerstein M., Li D., Liu Z., Sun M.",2023,"ToolLLM: Facilitating Large Language Models to Master 16000+ Real-world APIs",ICLR 2024,conference,https://arxiv.org/abs/2307.16789,candidate,§2 Related Work,nice-to-have,"Add if related work needs more recent tool-use scale citation"
patil2023gorilla,"Patil S.G., Zhang T., Wang X., Gonzalez J.E.",2023,"Gorilla: Large Language Model Connected with Massive APIs",NeurIPS 2024,conference,https://arxiv.org/abs/2305.15334,candidate,§2 Related Work,nice-to-have,"API-grounded LLM; alternative to Toolformer for fine-tuned-for-tools angle"
nakano2021webgpt,"Nakano R., Hilton J., Balaji S., Wu J., Ouyang L., Kim C., Hesse C., Jain S., Kosaraju V., Saunders W., Jiang X., Cobbe K., Eloundou T., Krueger G., Button K., Knight M., Chess B., Schulman J.",2021,"WebGPT: Browser-assisted question-answering with human feedback",arXiv preprint,preprint,https://arxiv.org/abs/2112.09332,candidate,§2 Related Work,nice-to-have,"Tool-augmented LLM precursor; cite if Toolformer + ReAct feels too narrow"
wu2023autogen,"Wu Q., Bansal G., Zhang J., Wu Y., Li B., Zhu E., Jiang L., Zhang X., Zhang S., Liu J., Awadallah A.H., White R.W., Burger D., Wang C.",2023,"AutoGen: Enabling Next-Gen LLM Applications via Multi-Agent Conversation",arXiv preprint,preprint,https://arxiv.org/abs/2308.08155,candidate,§2 Related Work,nice-to-have,"Multi-agent orchestration; cite only if you want to position against multi-agent paradigm"
ji2023survey,"Ji Z., Lee N., Frieske R., Yu T., Su D., Xu Y., Ishii E., Bang Y.J., Madotto A., Fung P.",2023,"Survey of Hallucination in Natural Language Generation",ACM Computing Surveys,journal,https://doi.org/10.1145/3571730,candidate,§1 Introduction,nice-to-have,"Canonical hallucination survey; add to intro for breadth"
li2023halueval,"Li J., Cheng X., Zhao W.X., Nie J., Wen J.",2023,"HaluEval: A Large-Scale Hallucination Evaluation Benchmark for Large Language Models",EMNLP,conference,https://arxiv.org/abs/2305.11747,candidate,§6 Evaluation,nice-to-have,"Hallucination benchmark; cite if discussing eval methodology"
honovich2022true,"Honovich O., Aharoni R., Herzig J., Taitelbaum H., Kukliansy D., Cohen V., Scialom T., Szpektor I., Hassidim A., Matias Y.",2022,"TRUE: Re-evaluating Factual Consistency Evaluation",NAACL,conference,https://arxiv.org/abs/2204.04991,candidate,§6 Evaluation,nice-to-have,"Faithfulness evaluation methodology; alternative to FActScore"
wang2020asking,"Wang A., Cho K., Lewis M.",2020,"Asking and Answering Questions to Evaluate the Factual Consistency of Summaries",ACL,conference,https://arxiv.org/abs/2004.04228,candidate,§6 Evaluation,low,"QAGS factuality eval; cite only if eval section needs more methodology refs"
talebi2023machine,"Talebi H., Mueller U., Tolosana-Delgado R., van den Boogaart K.G.",2022,"Drilling and blasting performance evaluation using machine learning and a regional geological model",Computers & Geosciences,journal,https://doi.org/10.1016/j.cageo.2022.105162,candidate,§2 Related Work,low,"Modern ML in geoscience; cite if you want more recent geology-ML breadth"
gswa2024,"Geological Survey of Western Australia",2024,"WAMEX (Western Australian Mineral Exploration) Open Data",WA Department of Energy Mines Industry Regulation and Safety,dataset,https://dasc.dmirs.wa.gov.au/,cited,§3 Architecture / §5 Case Studies,must-have,"Primary data source citation; also reference license URL in Ethics section"
folium2023,"python-visualization contributors",2023,"Folium: Python data, leaflet.js maps",Software,software,https://python-visualization.github.io/folium/,candidate,§3 Architecture,low,"Cite for demo UI if reviewers ask about visualization stack; can put in footnote instead"
gradio2019,"Abid A., Abdalla A., Abid A., Khan D., Alfozan A., Zou J.",2019,"Gradio: Hassle-Free Sharing and Testing of ML Models in the Wild",ICML Workshop,workshop,https://arxiv.org/abs/1906.02569,candidate,§3 Architecture,low,"Cite for demo UI framework; usually goes in footnote"
gpt4o2024,"OpenAI",2024,"GPT-4o System Card",OpenAI Technical Report,report,https://openai.com/index/hello-gpt-4o/,cited,§6 Evaluation,must-have,"Cite the specific model version used (gpt-4o-2024-08-06)"
ouyang2022instructgpt,"Ouyang L., Wu J., Jiang X., Almeida D., Wainwright C., Mishkin P., Zhang C., Agarwal S., Slama K., Ray A., Schulman J., Hilton J., Kelton F., Miller L., Simens M., Askell A., Welinder P., Christiano P.F., Leike J., Lowe R.",2022,"Training language models to follow instructions with human feedback",NeurIPS,conference,https://arxiv.org/abs/2203.02155,candidate,§2 Related Work,low,"InstructGPT; cite only if instruction-following is discussed"
